Episode,Ghast Killed
1,False
2,False
3,False
4,True
5,True
6,False
7,False
8,False
9,False
10,False
21,False
22,True
23,False
24,False
25,False
26,False
27,True
28,False
29,True
30,False
51,False
52,True
53,False
54,True
55,False
56,False
57,False
58,False
59,False
60,True
91,False
92,False
93,True
94,False
95,False
96,False
97,False
98,True
99,True
100,False
141,False
142,False
143,False
144,False
145,False
146,True
147,False
148,False
149,True
150,False
201,True
202,False
203,False
204,True
205,False
206,False
207,False
208,False
209,False
210,False
271,False
272,False
273,False
274,False
275,False
276,False
277,False
278,False
279,True
280,True
351,True
352,False
353,False
354,True
355,False
356,True
357,False
358,False
359,False
360,False
441,True
442,False
443,False
444,False
445,False
446,False
447,True
448,True
449,True
450,True
541,False
542,False
543,False
544,False
545,False
546,False
547,False
548,False
549,True
550,False
