Episode,Hearts Left
1,0.0
2,0.0
3,0.0
4,20.0
5,20.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
21,0.0
22,20.0
23,0.0
24,0.0
25,0.0
26,0.0
27,20.0
28,0.0
29,20.0
30,0
51,0.0
52,20.0
53,0.0
54,2.166667
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,20.0
91,0.0
92,0.0
93,15.333334
94,0.0
95,0.0
96,0.0
97,0.0
98,11.333334
99,15.333334
100,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,20.0
147,0.0
148,0.0
149,10.333334
150,0.0
201,20.0
202,0.0
203,0.0
204,20.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,20.0
280,20.0
351,20.0
352,0.0
353,0.0
354,15.333334
355,0.0
356,15.333334
357,0.0
358,0.0
359,0.0
360,0.0
441,19.833334
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,5.333334
448,20.0
449,20.0
450,20.0
541,0.0
542,0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,20.0
550,0.0
