Episode,Total Reward
1,-207
2,-281
3,-206
4,68
5,20
6,-418
7,-185
8,-435
9,-454
10,-173
11,-263
12,-8
13,-266
14,-256
15,-219
16,-155
17,43
18,-152
19,70
20,-168
21,-126
22,97
23,-56
24,47
25,-42
26,-51
27,-48
28,-29
29,-33
30,81
31,-121
32,-39
33,83
34,-72
35,-12
36,-63
37,-56
38,105
39,82
40,-49
41,-70
42,-72
43,-56
44,-55
45,-56
46,100
47,-58
48,-58
49,73
50,-69
51,107
52,-39
53,-44
54,78
55,-62
56,-71
57,-62
58,-86
59,-92
60,-12
61,-74
62,-67
63,-30
64,-82
65,-56
66,-73
67,-49
68,-62
69,96
70,56
71,110
72,-63
73,-23
74,88
75,-26
76,102
77,-52
78,-43
79,-24
80,-69
81,92
82,-13
83,-59
84,-52
85,-66
86,-46
87,37
88,95
89,102
90,64
91,-56
92,-89
93,-52
94,-88
95,-54
96,-27
97,-65
98,-92
99,37
100,-23
